"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",23573,2.32483418563245e-92,2.86924851457424e-77,0.00926336290653074,0.120126907221845,0.0101177473174211,0.120330983876554,0.0260579316352421,6.30028662956845e-05
"1","ion-java",5,0,0,0,0,0,0,0,0
"tau1","spring-cloud-azure",86,4.9760043106483e-18,1.22976800788428e-09,0.0587291466511346,0.526282780043899,0.0648164622529997,0.553240406089561,0.0388926474765307,0.722190805244146
"tau2","jimfs",269,8.20173530103304e-22,3.82914989587835e-13,0.00122213453176707,0.981036476379272,-0.00127615327011813,0.983378865999711,-0.0102331098773085,0.867324194167679
"tau3","truth",782,3.14671451877341e-48,6.09726979009997e-27,-0.0744208050482902,0.0171243821665855,-0.0851583469984674,0.0172231515012748,-0.0894843257486359,0.0123011982111039
"tau4","closure-compiler",14194,2.34518905280154e-94,5.14601420655104e-75,0.0286390872987712,0.000367776535146059,0.0299120146606834,0.000365025487088785,0.0400555641916231,1.80909289268002e-06
"tau5","error-prone",1872,2.40787440901202e-70,2.86167923634219e-52,0.0128774838413294,0.543705282656504,0.0140488484966437,0.543538982493632,-0.0140679710763676,0.54299048722559
"tau6","google-java-format",102,3.97958306503255e-19,4.27446424835296e-12,-0.140461834681434,0.123543256062729,-0.148759365197879,0.135647880771083,-0.0510622878630003,0.61027517754988
"tau7","gson",173,4.44548457118526e-16,4.34740396827339e-26,-0.219309130522615,0.00224755465046008,-0.232972582290146,0.00203812482665729,-0.190317520556121,0.0121397588475398
"11","guice",6,0,0,0,0,0,0,0,0
"tau8","open-location-code",5,0.00647000075166554,0.14584370144188,0.144337567297406,0.760906727075114,0.152145154862546,0.807032754855302,0.372677996249965,0.536716644816478
"tau9","closure-templates",1045,2.81078825409294e-53,5.7545911398661e-42,0.0148515325371972,0.587427188819322,0.0169021425159103,0.585223027836356,-0.0121417873327735,0.695024452559481
"tau10","compile-testing",128,3.8359821443971e-22,4.26491059563467e-19,0.13010298925958,0.122339437753332,0.137162135495792,0.122613536777062,0.121872172950172,0.170557578388866
"tau11","greenmail",99,3.49883495704227e-17,8.73932906762931e-09,0.079099565979176,0.364480457392196,0.0917579655593753,0.36637056891801,0.0311861249980196,0.759275961409719
"tau12","jbehave-core",636,2.46276468505925e-44,1.04683561095419e-33,0.027751238056025,0.431114143682534,0.0307573618177177,0.438736574153964,0.0394878688160352,0.320089022138366
"tau13","Git-Credential-Manager-for-Mac-and-Linux",24,2.18555629685712e-10,2.06596232985705e-08,0.466252404120157,0.0253473186774683,0.466252404120157,0.021645539948687,0.466252404120157,0.021645539948687
"tau14","spring-data-cosmosdb",105,7.79111832900091e-22,2.64523781450411e-10,-0.0295474397294,0.744727394483178,-0.0319276572605533,0.746447376752044,-0.0530656969814201,0.590831452517037
"12","spring-data-gremlin",86,0,0,0,0,0,0,0,0
"tau15","governator",134,1.96468354387125e-21,5.7264769970495e-14,-0.26299796379612,0.00073657450999314,-0.292751097008085,0.000597797040296829,-0.215010102385608,0.0126008610276892
"tau16","Fenzo",112,8.68341493598859e-13,2.73136792609303e-06,0.29995706602981,8.01532556004457e-05,0.372032002880164,5.3675572027883e-05,0.378515115196855,3.87041944104093e-05
"tau17","hollow",292,5.99007416376822e-27,3.17252547859979e-27,-0.0618453848170272,0.235775123324215,-0.0694076043149294,0.237056212755585,-0.0467620338349217,0.425986616096884
"tau18","zuul",32,2.79498373382559e-12,1.55548819248175e-07,0.231630283868136,0.175632054973768,0.243244321625513,0.179756965415428,0.169151381615736,0.354712074695359
"tau19","shopizer",29,2.77402884374226e-06,3.7758175244517e-08,-0.199555837699241,0.258327611798919,-0.201147748229356,0.295418725503589,0.342863544424889,0.0686373187223325
"tau20","ambrose",3,0.636886845028963,0,0.816496580927726,0.220671361919847,0.866025403784439,0.333333333333333,0.944911182523068,0.212295615009657
"tau21","GraphJet",46,4.56810023761143e-11,2.12028928931224e-08,0.387487583757186,0.00371946704381059,0.446697290445719,0.00185843370309716,0.244376878453486,0.101681980646175
"tau22","hbc",60,4.06809091933796e-13,2.09434574762212e-09,0.121261025249956,0.324526697034136,0.127737150074717,0.330739436463873,0.069881302592775,0.595723146582971
"tau23","hraven",55,4.31564556183349e-13,1.10869378355365e-06,0.23584788703959,0.0393930042119311,0.281910191733204,0.0370530265523646,0.360648175574312,0.00683263041598168
"tau24","lavagna",265,8.54432099599804e-33,2.93474466251311e-13,0.0143802916851557,0.785618802877425,0.0159855839079019,0.795625326710931,0.0237433691752939,0.700429206834532
"13","protostuff-core",91,0,0,0,0,0,0,0,0
"tau25","initializr",518,4.74023550506745e-45,2.35023134335668e-27,-0.0420854599752444,0.298499927102857,-0.045724001801281,0.298948991765842,-0.0352321550011031,0.42360564354023
"14","jbot",1,0,0,0,0,0,0,0,0
"tau26","javaanpr",23,3.00358260201489e-06,2.01947039837856e-07,-0.0969850221805573,0.634700997174667,-0.0916954128699036,0.677329015539689,0.259915912887164,0.231026158309377
"tau27","hibernate-ogm",600,1.20626255247466e-42,4.23297946284191e-36,-0.0353375629469474,0.331350748486826,-0.039940767434844,0.32872037752125,-0.00925467899458097,0.821026794291224
"tau28","hibernate-search",1316,1.09865047525692e-56,1.17152068813723e-41,-0.00497506913780697,0.837802166023381,-0.00569625691113528,0.836441920522668,-0.0476119925819286,0.0842494940847695
