"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",23405,3.12373444740477e-93,4.14848843279887e-80,-0.138353796923797,3.02337127531605e-155,-0.175848513887935,6.99264033444277e-162,-0.0635658299085688,2.1579050859059e-22
"tau1","spring-cloud-azure",100,1.77337570198582e-14,2.87260026031878e-07,0.0631644696079705,0.429446068111122,0.0919768940354566,0.362750616632239,0.249969281640931,0.0121341287701466
"tau2","hibernate-ogm",85,3.27114626090567e-12,3.01180459293325e-13,-0.256591912382504,0.0055640310493382,-0.324231902697532,0.00246798004274571,-0.155149122557645,0.156241455099998
"1","javaparser",224,0,0,0,0,0,0,0,0
"tau3","compile-testing",123,8.60579768224706e-16,2.02931360035031e-14,0.0110593639096824,0.884351412316039,0.0115288317931779,0.899288964181513,-0.0218476745697466,0.810441080867442
"tau4","hibernate-search",2117,7.77700189788593e-71,9.07810896176611e-54,-0.0032832820955212,0.845967278851186,-0.00237210350451715,0.913140438835461,0.0102936223757733,0.635962557455819
"tau5","jbehave-core",446,1.08327434566101e-41,8.86862709718747e-26,0.145367358948148,8.41872697391914e-05,0.185856087761949,7.86488560918224e-05,0.0635633821558226,0.180256737851916
"tau6","ambrose",8,0.155603715268351,0.000295733816759316,0.0435194139889245,0.891968671895893,0.0774338599379501,0.855390835689827,0.304002569553078,0.464140469706317
"tau7","Git-Credential-Manager-for-Mac-and-Linux",15,3.25344542227329e-05,9.71671165807459e-05,0.247209298643639,0.29535369576585,0.285887402930819,0.301630598782368,0.557986898159646,0.0306537893752024
"tau8","error-prone",1903,1.06524851842781e-48,1.31251259246495e-56,0.0248620651709899,0.220595028697531,0.0277915863049659,0.225588710442067,0.0411879618787692,0.0724404376570175
"tau9","nanohttpd",118,8.39029055845705e-20,3.82322882875785e-09,0.222401948755015,0.00314455617886523,0.277385148995384,0.00235788887566217,0.225359705834548,0.0141425068256049
"tau10","spring-data-cosmosdb",95,2.20963525899056e-11,7.68854802868019e-10,0.0931978165399899,0.270769020532587,0.124935515579771,0.227688988484866,0.00711806055414222,0.945418917619665
"tau11","lavagna",186,1.17172366260138e-15,7.28448654075702e-15,0.0942136452113988,0.107577439128223,0.114681921713768,0.119077803415512,0.0926275685013749,0.208586858090866
"11","Nodes",6,0,0,0,0,0,0,0,0
"tau12","jimfs",185,6.66428406146466e-26,1.49855778357818e-10,0.225105433262046,9.05623570596996e-05,0.296917603375741,4.05923000778691e-05,0.0388858141089447,0.599222973385538
"12","gson",10,0,0,0,0,0,0,0,0
"tau13","closure-templates",1131,4.29669061312023e-46,1.48652715618246e-43,0.115041701543362,7.0979918909378e-07,0.146561785892062,7.4127154408498e-07,0.0439432396654807,0.139700963326234
"tau14","initializr",708,3.76544781450508e-38,2.96405252246953e-24,-0.0830212902793094,0.00862906388090737,-0.0977310809466967,0.00926571241039201,-0.00800249450471388,0.831670417814161
"tau15","hbc",29,1.12343939704568e-06,1.21634791669434e-05,0.0694699515556176,0.668566669726753,0.0821641179153121,0.671768502106047,0.213064861845752,0.267119093420256
"13","optaplanner-core",344,0,0,0,0,0,0,0,0
"tau16","greenmail",75,1.6735224219108e-15,1.08624084321501e-07,-0.0247956510945338,0.780232388125522,-0.0208737128827336,0.858915576868644,0.541329279223894,5.31230490679017e-07
"tau17","closure-compiler",14078,9.33566116950673e-84,8.89167699407248e-84,-0.0512790592172391,6.58306544659239e-13,-0.0613086809444162,3.32526233644516e-13,-0.0314898217048553,0.000186313496073013
"tau18","governator",60,8.9810160248146e-10,1.54215830922554e-10,-0.233170513204163,0.0278613326822034,-0.303399295613753,0.0184467928929056,-0.110238485566583,0.401749514996489
"tau19","truth",695,3.38251413414463e-34,4.92569444987805e-25,0.0107641319376472,0.726830666066195,0.0108850162997858,0.774531933634543,-0.0198409770609775,0.601548759681246
"14","jbot",1,0,0,0,0,0,0,0,0
"tau20","docx4j",45,2.54420710551836e-08,7.96304900351612e-12,-0.148444311124156,0.275902767524991,-0.164530775876592,0.280129393448587,-0.0607440600801901,0.691822298685381
"tau21","shopizer",14,0.0282483838050498,0.00152864988101722,0.520184987554767,0.0218622736403071,0.623402472689078,0.0172185649182452,0.300393694728619,0.296702820996619
"tau22","spring-data-gremlin",102,1.10177005400349e-09,1.31129787639212e-10,0.0235560090822658,0.766931215549012,0.0312317291291896,0.755334227570651,0.337353495805928,0.000525637229898051
"15","open-location-code",2,0,0,0,0,0,0,0,0
"tau23","ion-java",200,4.89917013891776e-25,1.17201021293378e-18,-0.0709039211119905,0.23149262804429,-0.0842562847573614,0.235541142820632,-0.00951757130671304,0.893593828197049
"16","protostuff-core",12,0,0,0,0,0,0,0,0
