"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",5114,1.36401950836679e-64,1.34163905577618e-72,-0.0429228182712878,2.54443398721615e-05,-0.0652370550034405,3.02549647548266e-06,0.0112758474146796,0.420133547142872
"tau1","jbehave-core",534,3.69449739137797e-25,3.7199460547654e-29,0.050698447665644,0.10382864044781,0.0697514741882427,0.107390862306921,-0.0236999969300085,0.584747483855571
"tau2","hibernate-search",479,2.20192343436311e-25,1.04664923935823e-28,-0.152335879091531,1.97294675374093e-05,-0.200595459194261,9.69712178954673e-06,-0.15253321193917,0.000810310508595917
"tau3","initializr",736,1.01348857011625e-25,6.89160633601235e-27,-0.0414841779520683,0.136881079208676,-0.0584190454408898,0.11330123013951,-0.103844426211306,0.0048013502617811
"tau4","objenesis",8,0.0695277628205901,1.04723131579123e-06,0,1,0,1,-0.183218028435924,0.664076795486053
"tau5","shopizer",29,2.65727218977222e-05,2.70318712081791e-07,-0.0620571602838091,0.690274680020977,-0.0786062494594957,0.685245521228375,0.0256116451030224,0.895081236680532
"1","javaparser",252,0,0,0,0,0,0,0,0
"tau6","GraphJet",82,3.08718881037809e-08,1.73676609201992e-10,-0.39617371872008,3.69358341985803e-06,-0.498359315660347,1.89256663063224e-06,-0.308690278914913,0.00477763659706678
"tau7","hbc",47,0.0264418746919275,4.80847865381976e-06,-0.49449695407675,9.89291826707927e-06,-0.639109256556217,1.33187005131694e-06,-0.562504631542611,3.86849023426846e-05
"tau8","javaanpr",22,2.57917699460929e-07,8.10987881211156e-06,0.404246612503639,0.0232248686856473,0.484969212736789,0.0221580931915128,0.597139092113901,0.00334429643418923
"tau9","spring-cloud-azure",57,1.99646540272294e-05,1.64345958201734e-06,0.325160928862752,0.000820635157437389,0.428060492124148,0.000894929442498107,0.505781791344339,5.98559407074799e-05
"tau10","error-prone",63,0.00449161496674884,2.88147308841778e-09,-0.41470558368825,2.37438746796242e-05,-0.55795428893597,2.02503465126807e-06,-0.423661800846554,0.000540449776606858
"tau11","closure-compiler",294,1.51677060696163e-17,7.5125282770109e-33,-0.278379331984967,5.86780688128104e-09,-0.337355856384713,2.94409510374747e-09,-0.429840665666768,1.19323206008693e-14
"tau12","spring-data-gremlin",47,4.36292915605536e-05,2.2757769975084e-08,-0.193019205173582,0.0834957368099082,-0.271795420326872,0.0645847872409293,-0.249779792718218,0.09040796109079
"tau13","ion-java",61,1.43034124621758e-05,1.05960246850757e-10,-0.373558311652854,0.000701189519612592,-0.436128940716599,0.000442277808567228,-0.381288753856437,0.00243115870857265
"tau14","hibernate-ogm",351,1.91414329027942e-09,8.08066099685035e-25,0.133977042844353,0.000898438540352667,0.187398483403283,0.000416021834881225,0.181578006919941,0.000630401078474049
"tau15","nanohttpd",124,8.24433058789289e-12,8.16012266289919e-10,0.443645203971497,5.8916948064655e-11,0.608694449569893,6.39841220841337e-14,0.531272149326546,2.1798060502531e-10
"11","protostuff-core",19,0,0,0,0,0,0,0,0
"tau16","Git-Credential-Manager-for-Mac-and-Linux",17,0.198730620819185,0.000505465128996217,-0.0275798674257346,0.888718119860785,-0.041319962275663,0.874885484778807,0.0303396454023056,0.907976747912375
"12","open-location-code",2,0,0,0,0,0,0,0,0
"tau17","google-java-format",56,6.0453666233664e-05,5.24256040076272e-09,0.161781863772167,0.124545536517818,0.201094136455891,0.137242587621421,0.248029234050537,0.0653093452374794
"tau18","lavagna",277,5.65015259726853e-10,7.6345253939372e-17,-0.130110150191807,0.00291637444810077,-0.148580141462716,0.0133072426965533,-0.0287863491481571,0.63333883565732
"tau19","compile-testing",96,8.34465542732309e-08,1.1087883591379e-11,0.0696725861158411,0.360943595500127,0.0597514796345791,0.563067940474034,0.0598672609750672,0.562310416272218
"13","jbot",1,0,0,0,0,0,0,0,0
"tau20","greenmail",80,6.38083358133915e-08,3.15912291824457e-07,-0.0944322641519852,0.246218229317466,-0.142691752490185,0.206711532882075,-0.0354105241852418,0.755166345585419
"tau21","jimfs",185,8.55191605610308e-12,1.49855778357818e-10,0.0681142439255357,0.218336699036245,0.0975490723702591,0.186511164809916,0.14850888251563,0.0436486296225133
"tau22","spring-data-cosmosdb",17,0.00159823001254942,0.000625430971960042,0.136634917075474,0.494775622470363,0.168606054423716,0.517705913073587,0.192079866224856,0.460173248585312
"tau23","closure-templates",1166,1.44511561366877e-32,3.44577690190528e-44,0.147763433470019,7.02787342181797e-12,0.198703119946149,7.58568408442072e-12,0.137860386219893,2.30102234995392e-06
"tau24","ambrose",6,0.174794624857169,0.211705478836296,-0.334496804002836,0.395907601422026,-0.429058165160517,0.395905606097864,-0.344252097267333,0.504020427173717
"14","guice",6,0,0,0,0,0,0,0,0
