optaplanner,core/optaplanner-core-impl/src/test/java/org/optaplanner/core/impl/partitionedsearch/DefaultPartitionedSearchPhaseTest.java,partCount,1,1,0,16,12,57.359400011538504,3.452819531114783
optaplanner,core/optaplanner-core-impl/src/test/java/org/optaplanner/core/impl/partitionedsearch/DefaultPartitionedSearchPhaseTest.java,partCount,1,1,0,118,48,659.0255750850965,4.935645617836227
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/embedder/EmbedderBehaviour.java,run,1,1,0,15,14,57.110323830864054,3.7735572622751845
ambrose,common/src/test/java/com/twitter/ambrose/model/DAGNodeTest.java,testRoundTrip,10,3,0,63,24,288.8526375454329,4.019767026159407
ambrose,common/src/test/java/com/twitter/ambrose/model/DAGNodeTest.java,testRoundTrip,10,3,0,71,29,344.91665065405766,4.4168518738757045
ambrose,common/src/test/java/com/twitter/ambrose/model/JobTest.java,testRoundTrip,6,2,0,31,18,129.26767504471167,3.9779168746936358
ambrose,common/src/test/java/com/twitter/ambrose/model/JobTest.java,testRoundTrip,6,2,0,56,32,280.0,4.6612690387114615
ambrose,common/src/test/java/com/twitter/ambrose/model/EventTest.java,testRoundTrip,5,1,0,87,28,418.23987821901153,4.046982819102292
ambrose,common/src/test/java/com/twitter/ambrose/model/EventTest.java,testRoundTrip,5,1,0,76,37,395.9184557878002,4.811080678232561
incubator-datasketches-java,src/test/java/org/apache/datasketches/hll/CouponListTest.java,checkIterator,12,3,0,19,12,68.11428751370197,3.431623565847432
incubator-datasketches-java,src/test/java/org/apache/datasketches/hll/CouponListTest.java,checkIterator,12,3,0,143,53,819.0926250025376,5.040687190391729
incubator-datasketches-java,src/test/java/org/apache/datasketches/req/ReqSketchSortedViewTest.java,checkIterator,3,1,0,32,20,138.3016990363956,4.0746987351738495
