hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseStatusDelete,()V,void testParseStatusDelete(),org.junit.Test,4,4,5,StatusDeletionNotice parseStatusDelete(JSONObject json)|long getStatusId()|long getUserId()|void assertEquals(long expected; long actual),4,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testTrackLimitNotice,()V,void testTrackLimitNotice(),org.junit.Test,2,2,2,int parseTrackLimit(JSONObject json)|void assertEquals(int expected; int actual),2,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseTestList,()V,void testParseTestList(),org.junit.Test,6,6,6,long[] parseFriendList(JSONObject json)|void assertEquals(int expected; int actual)|void assertEquals(long expected; long actual),3,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseSitestreamUserId,()V,void testParseSitestreamUserId(),org.junit.Test,3,3,4,boolean hasSitestreamUser(JSONObject envelope)|long getSitestreamUser(JSONObject envelope)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),4,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseSitestreamMessage,()V,void testParseSitestreamMessage(),org.junit.Test,8,8,9,JSONObject getSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|long[] parseFriendList(JSONObject json)|void assertEquals(int expected; int actual)|void assertEquals(long expected; long actual)|void assertTrue(boolean condition),6,,0,,0,2,2,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testMissingFields,()V,void testMissingFields(),org.junit.Test,1,4,2,int parseTrackLimit(JSONObject json)|void fail(),2,,0,,0,1,1,1,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseControlStreamMessage,()V,void testParseControlStreamMessage(),org.junit.Test,5,5,6,String getStreamId(JSONObject message)|boolean hasSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|void assertEquals(String expected; String actual)|void assertFalse(boolean condition),5,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/JSONObjectParserTest.java,com.twitter.hbc.twitter4j.JSONObjectParserTest,testParseDisconnectMessage,()V,void testParseDisconnectMessage(),org.junit.Test,7,7,11,DisconnectMessage parseDisconnectMessage(JSONObject message)|String getDisconnectReason()|String getStreamName()|boolean hasSitestreamMessage(JSONObject envelope)|boolean hasSitestreamUser(JSONObject envelope)|int getDisconnectCode()|void assertEquals(String expected; String actual)|void assertEquals(int expected; int actual)|void assertFalse(boolean condition),9,,0,,0,1,1,0,0,twitter4j.JSONException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testStatusListener,()V,void testStatusListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onStatus(long sitestreamUser; Status status)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testStatusDeletionListener,()V,void testStatusDeletionListener(),org.junit.Test,2,2,5,Object any(Class clazz)|Object verify(Object mock)|int anyInt()|void onDelete(long sitestreamUser; StatusDeletionNotice delete)|void processMessage(long sitestreamUser; JSONObject json),5,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,,0,0,0,,0,,0,duplicated_2
hbc,hbc-twitter4j,/hbc-twitter4j/src/test/java/com/twitter/hbc/twitter4j/BaseTwitter4jClientTest.java,com.twitter.hbc.twitter4j.BaseTwitter4jClientTest,testLimitListener,()V,void testLimitListener(),org.junit.Test,2,2,5,Object verify(Object mock)|int anyInt()|void onTrackLimitationNotice(long sitestreamUser; int limit)|void processMessage(long sitestreamUser; JSONObject json),4,,0,,0,1,3,0,0,java.io.IOException|twitter4j.JSONException|twitter4j.TwitterException,,0,0,0,,0,,0,duplicated_2
