"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",2009,5.25652086613096e-60,1.06675276837718e-54,0.00527095197399461,0.771878958128139,0.00446624680044388,0.841432140173999,0.0574368793891578,0.0100254034104101
"tau1","spring-cloud-azure",43,2.60071488001057e-06,5.82535500701443e-06,-0.140788862625269,0.245132219637794,-0.196305198611645,0.207076347589502,-0.203575734409418,0.190412678904749
"tau2","hibernate-ogm",132,1.75860622854918e-20,5.04646126392042e-13,0.149730605687297,0.0413722263884404,0.161631668126892,0.0640921870347529,0.110462391156646,0.207342001464731
"1","javaparser",99,0,0,0,0,0,0,0,0
"11","compile-testing",4,0,0,0,0,0,0,0,0
"tau3","hibernate-search",352,1.90684307127128e-28,1.85331408138533e-26,0.0933672244258867,0.0351956298375978,0.110785318224253,0.0377533445745933,0.115203911122485,0.0307008631385128
"tau4","jbehave-core",122,2.28842313575888e-20,7.96313152966736e-14,-0.152857111433006,0.0403375220253434,-0.17588319652262,0.0526441108112129,0.0335348764428735,0.713846650813862
"12","ambrose",8,0,0,0,0,0,0,0,0
"tau5","Git-Credential-Manager-for-Mac-and-Linux",2,0,0,1,NA,0,0,0,0
"tau6","error-prone",48,1.43400706237411e-09,0.000392980585168423,0.0496450681288468,0.682222513632324,0.057075206962698,0.700000630929685,0.052128965671694,0.724928716560381
"tau7","nanohttpd",69,1.24108526330007e-14,2.30974028582401e-07,-0.2208363369336,0.0261896140657927,-0.274556260461326,0.0224282628046026,-0.1265788765373,0.30001077928077
"13","spring-data-cosmosdb",3,0,0,0,0,0,0,0,0
"tau8","lavagna",42,2.28086049191353e-05,0.000236390673952374,-0.372554865990148,0.00243773470213012,-0.494019046606794,0.000884146798081635,-0.471032658953669,0.00164156544371459
"14","Nodes",6,0,0,0,0,0,0,0,0
"tau9","jimfs",81,8.20498059937312e-09,1.28459283052114e-07,0.198775881187998,0.0262486354668495,0.248349265668409,0.0253811465435524,0.246540028804438,0.0265043109902906
"15","gson",10,0,0,0,0,0,0,0,0
"tau10","closure-templates",123,3.13827986598716e-21,4.46744361193353e-14,0.15412227879896,0.0385226092343811,0.186228309093677,0.0391733488115492,-0.0194836284496948,0.830626692557291
"tau11","initializr",135,2.97396700982629e-23,7.14971768241183e-13,0.0750557556990021,0.334977240269425,0.0805765498197926,0.352878309987147,0.149005300213558,0.0845583607234686
"tau12","hbc",26,0.000717915215798067,1.35922164906711e-06,0,1,-0.0106743579301336,0.958725347012104,0.0362980192566135,0.860263081466773
"16","optaplanner-core",12,0,0,0,0,0,0,0,0
"tau13","greenmail",53,1.18986961526197e-07,8.02510533800367e-06,0.00403952080862878,0.968787713383095,-0.0160907394735565,0.90895527110821,0.244947729307397,0.0771004526665991
"tau14","closure-compiler",249,4.59029288992986e-27,1.96964152652631e-21,0.127007113293091,0.024305785729207,0.142587361829486,0.0244375889831202,0.0326012985938378,0.608659809837062
"tau15","governator",33,2.42386287964095e-08,1.27138432771161e-08,0.284169010217526,0.0633716700836214,0.32957020637133,0.0610757872426036,0.2442972332082,0.170645296148179
"tau16","truth",3,0.636886845028963,0.78044081487901,1,0.117185087198138,1,0,0.997176464952738,0.0478513232833488
"17","jbot",1,0,0,0,0,0,0,0,0
"tau17","docx4j",76,5.08360161356274e-07,5.0198081529928e-13,0.154134797391029,0.131498471380139,0.171226532293047,0.139160297052881,0.241613913466178,0.0354925293950817
"tau18","shopizer",29,1.12598411137632e-07,1.68941614472332e-06,0.440351682771593,0.00567328592546959,0.500420936679087,0.00569844532720329,0.743295028229956,3.8505001362631e-06
"tau19","spring-data-gremlin",6,0.135333397930165,0.000114874725355448,-0.769800358919501,0.0584056416094105,-0.848528137423857,0.032677923336803,-0.561951486949016,0.24580195172632
"18","open-location-code",0,0,0,0,0,0,0,0,0
"tau20","ion-java",99,1.01556673001989e-12,2.08115306099876e-13,-0.203759087905062,0.0200223458785528,-0.233207710611549,0.0201766456046333,-0.0602309326816984,0.55370518967875
"19","protostuff-core",10,0,0,0,0,0,0,0,0
"110","GraphJet",7,0,0,0,0,0,0,0,0
"tau21","objenesis",6,0.00135075284870458,2.07292443849816e-05,-0.316227766016838,0.479500122186953,-0.316227766016838,0.541469739275585,-0.316227766016838,0.541469739275585
"tau22","google-java-format",78,7.0375815425701e-15,2.15436412933259e-09,-0.199919586692433,0.0464643724552378,-0.226334464359646,0.0463054983586104,-0.16440954128579,0.150323163353226
"tau23","hraven",33,8.71363180368113e-07,0.0424229018018988,-0.126426567524176,0.334677832629099,-0.187394061824482,0.296357796453108,-0.197095698115117,0.271593774998569
"111","guice",0,0,0,0,0,0,0,0,0
"tau24","javaanpr",9,0.00570951366742283,0.00316417322253222,0.530722777603022,0.0968380318927243,0.562821176545159,0.114631824825964,0.827599530762736,0.0058924071027042
