"","project","obs","normalityLeft","normalityRight","kendallTau","kendallPValue","spearmanRho","spearmanPValue","pearsonCor","pearsonPValue"
"tau","all",25319,1.49942843951384e-94,2.67496763226984e-79,-0.00685684231754874,0.240659136846977,-0.00741521947574734,0.238054459121242,-2.82365100253305e-05,0.996415311269084
"tau1","spring-cloud-azure",113,2.01242296119066e-18,1.89852577887949e-09,-0.150714439693037,0.0574737006081658,-0.180578478233043,0.0556203638013196,-0.0956897200660757,0.313357703865791
"tau2","hibernate-ogm",719,2.12671504454324e-50,1.61147109009083e-34,0.0273131177402271,0.421153360124502,0.0300391629294957,0.421249477947506,-0.0184302602297585,0.621748151235911
"1","javaparser",252,0,0,0,0,0,0,0,0
"11","compile-testing",128,0,0,0,0,0,0,0,0
"tau3","hibernate-search",2474,3.39433360428773e-76,6.90058951029647e-57,-0.0296262550817508,0.0949053409743442,-0.0335885309068142,0.0948604846959073,-0.016384464740695,0.415304194053692
"tau4","jbehave-core",559,7.6520952146828e-43,3.9007294619311e-30,-0.0827098780437607,0.0263266056845862,-0.0940376563036121,0.02619549922777,-0.04638099348543,0.273635485858993
"12","ambrose",8,0,0,0,0,0,0,0,0
"13","Git-Credential-Manager-for-Mac-and-Linux",17,0,0,0,0,0,0,0,0
"tau5","error-prone",1974,3.77242054455103e-72,1.63464656785458e-57,-0.0218370136195296,0.300580374482077,-0.0233053890799637,0.300698524714966,-0.0185479775821507,0.41014964966664
"tau6","nanohttpd",124,7.95280488361353e-24,8.16012266289919e-10,-0.0729369578777909,0.364529595583413,-0.0814720311844851,0.368363757979696,-0.086409661930295,0.339952790233766
"tau7","spring-data-cosmosdb",107,1.11152820904656e-19,1.29697778362119e-10,-0.0793095799364551,0.375686902996316,-0.0860434233777963,0.378197743605444,-0.099199649590039,0.30935004527693
"tau8","lavagna",277,2.95892541000901e-31,7.6345253939372e-17,0.00304598513120476,0.954493716916544,0.00343488668469766,0.954617238603597,0.0244592743192966,0.685254613059882
"14","Nodes",10,0,0,0,0,0,0,0,0
"tau9","jimfs",185,9.70771899110467e-27,1.49855778357818e-10,-0.209643375508752,0.00160870645037534,-0.232873388516121,0.00142310098071069,-0.203896920011408,0.00537250647239728
"15","gson",10,0,0,0,0,0,0,0,0
"tau10","closure-templates",1176,1.32442072286914e-60,2.41465453695159e-44,-0.0202843563284577,0.439422124344759,-0.0225482287999506,0.439807048642976,-0.0232904728153649,0.424896194748683
"16","initializr",738,0,0,0,0,0,0,0,0
"tau11","hbc",49,4.88514247420893e-12,2.46977032885898e-06,-0.302896074167414,0.0212214130069086,-0.332556919283606,0.0195598139286279,-0.314024930631314,0.027995961139826
"17","optaplanner-core",359,0,0,0,0,0,0,0,0
"tau12","greenmail",85,8.71562313725627e-20,7.07803768781579e-07,0.0777041879975484,0.41236889387021,0.0885761807433805,0.420169681765556,0.0590035385533569,0.591682837508677
"tau13","closure-compiler",14204,0,0,0.0168343026500834,0.0400174738545507,0.0172313438874713,0.0400132106155376,0.00813394055911582,0.332376521096643
"tau14","governator",120,1.68548777633623e-22,3.30354175779961e-16,-0.0325204829958003,0.693618753071875,-0.0369104704647045,0.68898104652045,-0.0579459120462367,0.529578111564863
"18","truth",875,0,0,0,0,0,0,0,0
"19","jbot",2,0,0,0,0,0,0,0,0
"tau15","docx4j",78,1.3804048510486e-15,2.08707371473663e-14,-0.310648512334375,0.00580519582105503,-0.314370095539664,0.00506205379399814,-0.241897262725905,0.0328686615413564
"110","shopizer",29,0,0,0,0,0,0,0,0
"tau16","spring-data-gremlin",102,5.30267182913613e-18,1.31129787639212e-10,0.00338901183144552,0.968954303022825,0.00309841774617509,0.975343795689617,-0.129115673448947,0.195888569689893
"111","open-location-code",2,0,0,0,0,0,0,0,0
"tau17","ion-java",225,8.45504852630624e-28,1.69171549288363e-19,0.118305019746744,0.069268458453741,0.121417921880344,0.0690861298324752,0.0136017563222461,0.839213707326567
"112","protostuff-core",21,0,0,0,0,0,0,0,0
"113","GraphJet",84,0,0,0,0,0,0,0,0
"tau18","objenesis",19,5.28044954764051e-09,0.00034941073502196,0.349781454864735,0.120174486238521,0.366291125532543,0.122973332762368,0.296296296296296,0.218047320221575
"tau19","google-java-format",100,4.05674962464796e-21,3.76420253544368e-11,-0.136528472705259,0.139786118387576,-0.149218865696997,0.138410175442924,-0.0643453025750995,0.524761544504027
"tau20","hraven",66,3.30371454701246e-16,8.31743878797575e-06,0.174072735658464,0.10355535326843,0.201910727700443,0.103996030733883,0.214726844529547,0.0833845388352832
"114","guice",6,0,0,0,0,0,0,0,0
"tau21","javaanpr",22,1.03552197746801e-07,8.10987881211156e-06,-0.160353165875663,0.429484804017816,-0.168530287358968,0.453421621524338,-0.202792048310394,0.365405916936037
