Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hibernate-search,testMaxObjectToString,engine/src/test/java/org/hibernate/search/test/bridge/time/InstantBridgeTest.java,2,1,0
hibernate-search,testPaddingObjectToString,engine/src/test/java/org/hibernate/search/test/bridge/time/InstantBridgeTest.java,2,1,0
hibernate-search,testExceptionValueTooSmall,engine/src/test/java/org/hibernate/search/test/bridge/time/DurationBridgeTest.java,1,1,0
hibernate-search,testExceptionValueTooBig,engine/src/test/java/org/hibernate/search/test/bridge/time/DurationBridgeTest.java,1,1,0
hibernate-search,testTooLargeValueException,engine/src/test/java/org/hibernate/search/test/bridge/time/InstantBridgeTest.java,1,1,0
hibernate-search,testStandardReaderIsUsedIfAllSortsAreCovered,engine/src/test/java/org/hibernate/search/test/sorting/ManagedMultiReaderTest.java,14,5,0
hibernate-search,testUninvertingReaderIsUsedIfNotAllSortsAreCovered,engine/src/test/java/org/hibernate/search/test/sorting/ManagedMultiReaderTest.java,12,5,0
hibernate-search,testCombinationOfStandardAndUninvertingReaderAsRequiredToSortOnInvolvedIndexes,engine/src/test/java/org/hibernate/search/test/sorting/ManagedMultiReaderTest.java,17,5,0
hibernate-search,testNumericMappingOfEmbeddedFields,orm/src/test/java/org/hibernate/search/test/engine/NumericFieldTest.java,22,3,0
hibernate-search,testSortableField,orm/src/test/java/org/hibernate/search/test/configuration/ProgrammaticMappingTest.java,15,4,0
hibernate-search,testBooleanWithoutScoring,orm/src/test/java/org/hibernate/search/test/query/dsl/DSLTest.java,14,2,0
hibernate-search,testSortableFieldConfiguredThroughClassLevelBridge,orm/src/test/java/org/hibernate/search/test/query/sorting/SortOnFieldsFromCustomBridgeTest.java,3,2,0
hibernate-search,testSortableFieldConfiguredThroughCustomFieldLevelBridge,orm/src/test/java/org/hibernate/search/test/query/sorting/SortOnFieldsFromCustomBridgeTest.java,2,2,0
hibernate-search,testTwoSortableFieldsConfiguredThroughAnnotationAndCustomFieldLevelBridge,orm/src/test/java/org/hibernate/search/test/query/sorting/SortOnFieldsFromCustomBridgeTest.java,2,2,0
hibernate-search,testNumericFieldQuery,elasticsearch/src/test/java/org/hibernate/search/test/backend/elasticsearch/ElasticSearchTest.java,1,1,0
hibernate-search,testFields,elasticsearch/src/test/java/org/hibernate/search/test/backend/elasticsearch/ElasticSearchTest.java,2,1,0
hibernate-search,testRestrictionByType,elasticsearch/src/test/java/org/hibernate/search/test/backend/elasticsearch/ElasticSearchTest.java,2,1,0
hibernate-search,testMapping,elasticsearch/src/test/java/org/hibernate/search/test/backend/elasticsearch/ElasticSearchTest.java,14,3,0
hibernate-search,testQueryStringQuery,elasticsearch/src/test/java/org/hibernate/search/test/backend/elasticsearch/ElasticSearchTest.java,6,1,0
