Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hibernate-search,routingKeys,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/outbox/OutboxTableAutomaticIndexingStrategyIT.java,12,2,0
hibernate-search,insertUpdateDelete,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/outbox/OutboxTableAutomaticIndexingStrategyIT.java,3,1,0
hibernate-search,multipleTypes,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/outbox/OutboxTableAutomaticIndexingStrategyIT.java,2,1,0
hibernate-search,nestedX2_explicit,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,2,1,0
hibernate-search,nestedX2_implicit,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,2,1,0
hibernate-search,nestedX2_explicit_implicit,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,2,1,0
hibernate-search,nestedX3_explicitX2_implicit,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,2,1,0
hibernate-search,nestedX3_explicit_implicitX2,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,2,1,0
hibernate-search,nestedFlattenedNested_implicit,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/AbstractPredicateNestingIT.java,3,1,0
hibernate-search,targetType_preserveGenericTypeContext,integrationtest/mapper/pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/mapping/definition/IndexedEmbeddedBaseIT.java,4,2,0
hibernate-search,multipleChangesSameTransaction,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,2,1,0
hibernate-search,massiveInsert,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,2,1,0
hibernate-search,backendFailure,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,5,1,0
hibernate-search,backendFailure_twoFailuresOfTheSameIndexingWork,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,7,1,0
hibernate-search,backendFailure_threeFailuresOfTheSameIndexingWork,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,4,1,0
hibernate-search,backendFailure_numberOfTrialsExhausted,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outboxtable/OutboxTableAutomaticIndexingStrategyEdgeIT.java,9,2,0
hibernate-search,reproducer,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,1,1,0
hibernate-search,indexingStrategyOutbox,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,17,4,0
hibernate-search,indexingStrategySession,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,9,5,0
hibernate-search,backendFailure,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outbox/OutboxPollingAutomaticIndexingStrategyEdgeIT.java,3,1,0
hibernate-search,backendFailure_twoFailuresOfTheSameIndexingWork,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outbox/OutboxPollingAutomaticIndexingStrategyEdgeIT.java,3,1,0
hibernate-search,backendFailure_threeFailuresOfTheSameIndexingWork,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outbox/OutboxPollingAutomaticIndexingStrategyEdgeIT.java,3,1,0
hibernate-search,backendFailure_numberOfTrialsExhausted,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outbox/OutboxPollingAutomaticIndexingStrategyEdgeIT.java,3,1,0
hibernate-search,stopWhileOutboxEventsIsBeingProcessed,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/automaticindexing/outbox/OutboxPollingAutomaticIndexingStrategyLifecycleIT.java,21,2,0
hibernate-search,emptyTerms_matchingAll,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,2,1,0
hibernate-search,emptyTerms_matchingAny,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,2,1,0
hibernate-search,lotsOfTerms_matchingAny,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,1,1,0
hibernate-search,get_missing,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,1,1,0
hibernate-search,get_string,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,1,1,0
hibernate-search,resolve_missing,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,1,1,0
hibernate-search,resolve_present,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,1,1,0
hibernate-search,to_string,engine/src/test/java/org/hibernate/search/engine/cfg/MapConfigurationPropertySourceTest.java,1,1,0
hibernate-search,get_integer,engine/src/test/java/org/hibernate/search/engine/cfg/MapConfigurationPropertySourceTest.java,3,2,0
hibernate-search,to_string,engine/src/test/java/org/hibernate/search/engine/cfg/SystemConfigurationPropertySourceTest.java,1,1,0
hibernate-search,cloggedClient_timeout_request,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/client/ElasticsearchClientFactoryImplIT.java,1,1,0
hibernate-search,simple_httpClientConfigurer,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/client/ElasticsearchClientFactoryImplIT.java,1,1,0
hibernate-search,noVersionCheck_completeVersion,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,11,4,0
hibernate-search,noVersionCheck_incompleteVersion,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,13,8,0
hibernate-search,noVersionCheck_versionOverrideOnStart_incompatibleVersion,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,21,8,0
hibernate-search,noVersionCheck_versionOverrideOnStart_compatibleVersion,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,12,5,0
hibernate-search,searchNamedPredicateInRoot,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/NamedPredicateBaseIT.java,20,1,0
hibernate-search,searchNamedPredicateInNested,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/NamedPredicateBaseIT.java,12,1,0
