Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
closure-compiler,testDuplicateStaticMethodDecl6,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticMethodDecl7,test/com/google/javascript/jscomp/TypeCheckTest.java,1,1,0
closure-compiler,testDuplicateStaticMethodDecl8,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl1,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl2,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl3,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl4,test/com/google/javascript/jscomp/TypeCheckTest.java,6,3,0
closure-compiler,testDuplicateStaticPropertyDecl5,test/com/google/javascript/jscomp/TypeCheckTest.java,1,1,0
closure-compiler,testDuplicateStaticPropertyDecl6,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl7,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl8,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDecl9,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateStaticPropertyDec20,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateLocalVarDecl,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
closure-compiler,testDuplicateLocalVarDeclSuppressed,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testShadowBleedingFunctionName,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateInstanceMethod1,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateInstanceMethod2,test/com/google/javascript/jscomp/TypeCheckTest.java,5,3,0
closure-compiler,testDuplicateInstanceMethod3,test/com/google/javascript/jscomp/TypeCheckTest.java,5,3,0
closure-compiler,testDuplicateInstanceMethod4,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateInstanceMethod5,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testDuplicateInstanceMethod6,test/com/google/javascript/jscomp/TypeCheckTest.java,3,2,0
closure-compiler,testStubFunctionDeclaration1,test/com/google/javascript/jscomp/TypeCheckTest.java,1,1,0
closure-compiler,testStubFunctionDeclaration2,test/com/google/javascript/jscomp/TypeCheckTest.java,1,1,0
closure-compiler,testStubFunctionDeclaration3,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
closure-compiler,testStubFunctionDeclaration4,test/com/google/javascript/jscomp/TypeCheckTest.java,1,1,0
closure-compiler,testStubFunctionDeclaration5,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
closure-compiler,testStubFunctionDeclaration6,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
closure-compiler,testStubFunctionDeclaration7,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
closure-compiler,testStubFunctionDeclaration8,test/com/google/javascript/jscomp/TypeCheckTest.java,2,2,0
