project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testLiteralTypesInferred,13,2,0,107,28,514.3869766601636,3.8257640221208202
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testGlobalQualifiedNameInLocalScope,13,2,0,46,24,210.90827503317323,4.083587370023806
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty1,13,2,0,53,26,249.1233050614779,4.071798992094947
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty2,13,2,0,53,26,249.1233050614779,4.071798992094947
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty3,13,2,0,57,29,276.90491672227165,4.257899882396014
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty4,13,2,0,75,30,368.0167946706389,4.0528504836508255
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty5,13,2,0,36,24,165.05865002596164,4.214192447093236
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredObjectLitProperty6,13,2,0,71,31,351.7479380374682,4.190968277058708
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testInferredObjectLitProperty1,13,2,0,71,31,351.7479380374682,4.190968277058707
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testInferredObjectLitProperty2,13,2,0,71,31,351.7479380374682,4.190968277058707
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType1,13,2,0,36,24,165.05865002596164,4.214192447093236
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType2,13,2,0,36,24,165.05865002596164,4.214192447093236
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType3,13,2,0,38,25,176.46653521143952,4.289865093533937
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType4,13,2,0,67,34,340.8600103637728,4.383367930434706
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType5a,13,2,0,36,24,165.05865002596164,4.214192447093236
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredConstType6,13,2,0,79,34,401.90956445877686,4.335424586536589
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testBadCtorInit1,13,2,0,12,11,41.51317942364757,3.4182958340544896
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testBadCtorInit2,13,2,0,12,11,41.51317942364757,3.4182958340544896
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testBadIfaceInit1,13,2,0,12,11,41.51317942364757,3.4182958340544896
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testBadIfaceInit2,13,2,0,12,11,41.51317942364757,3.418295834054489
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredCatchExpression1,13,2,0,25,17,102.1865710312585,3.7532696895151068
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDeclaredCatchExpression2,13,2,0,29,19,123.18989788986397,3.835516013941255
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDestructuringCatch,13,2,0,41,20,177.19905189038187,3.809163139853108
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testDuplicateCatchVariableNames,13,2,0,95,35,487.2818866097718,4.531960847912942
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testGenerator1,13,2,0,39,20,168.55519570060713,3.8501671303741176
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testGenerator2,13,2,0,39,20,168.55519570060713,3.8501671303741176
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testArgumentsStackOverflow,13,2,0,34,27,161.66617507355795,4.594672032363178
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testSpreadInIifeBlocksTypeInference,13,2,0,58,26,272.6255036521834,4.181685619013814
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testMemoization,13,2,0,78,28,374.9736839204931,4.324482867573133
closure-compiler,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,testMemoizationPreconditionCheck,13,2,0,67,31,331.9311527959207,4.491765761051341
