mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
jbehave-core,jbehave-pico-example,/jbehave-pico-example/src/main/java/org/jbehave/examples/core/pico/AnnotatedEmbedderUsingPico.java,org.jbehave.examples.core.pico.AnnotatedEmbedderUsingPico,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,3,Embedder injectedEmbedder()|List<String> storyPaths()|void runStoriesAsPaths(List<String> storyPaths),3,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico-example,/jbehave-pico-example/src/main/java/org/jbehave/examples/core/pico/ParentAnnotatedEmbedderUsingPico.java,org.jbehave.examples.core.pico.ParentAnnotatedEmbedderUsingPico,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,3,Embedder injectedEmbedder()|List<String> storyPaths()|void runStoriesAsPaths(List<String> storyPaths),3,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico-example,/jbehave-pico-example/src/main/java/org/jbehave/examples/core/pico/InheritingAnnotatedEmbedderUsingSteps.java,org.jbehave.examples.core.pico.InheritingAnnotatedEmbedderUsingSteps,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,3,Embedder injectedEmbedder()|List<String> storyPaths()|void runStoriesAsPaths(List<String> storyPaths),3,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
jbehave-core,jbehave-pico-example,/jbehave-pico-example/src/main/java/org/jbehave/examples/core/pico/AnnotatedEmbedderUsingPicoAndSteps.java,org.jbehave.examples.core.pico.AnnotatedEmbedderUsingPicoAndSteps,run,()V,void run(),java.lang.Override|org.junit.Test,1,1,3,Embedder injectedEmbedder()|List<String> storyPaths()|void runStoriesAsPaths(List<String> storyPaths),3,List<String> storyPaths(),1,,0,0,0,0,0,,0,0,,0,,0
