mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
nanohttpd,nanohttpd-apache-fileupload,/nanohttpd-apache-fileupload/src/test/java/org/nanohttpd/junit/fileupload/TestNanoFileUpLoad.java,org.nanohttpd.junit.fileupload.TestNanoFileUpLoad,testNormalRequest,()V,void testNormalRequest(),org.junit.Test,5,5,6,CloseableHttpClient createDefault()|CloseableHttpResponse execute(HttpUriRequest request)|StatusLine getStatusLine()|int getStatusCode()|void assertEquals(long expected; long actual)|void close(),6,,0,,0,2,3,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,1,,0,,0
nanohttpd,nanohttpd-apache-fileupload,/nanohttpd-apache-fileupload/src/test/java/org/nanohttpd/junit/fileupload/TestNanoFileUpLoad.java,org.nanohttpd.junit.fileupload.TestNanoFileUpLoad,testPostWithMultipartFormUpload1,()V,void testPostWithMultipartFormUpload1(),org.junit.Test,6,6,7,CloseableHttpClient createDefault()|Object get(Object key)|Object get(int index)|long getSize()|long length()|void assertEquals(long expected; long actual)|void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),7,void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),1,,0,1,2,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,2,,0,,0
nanohttpd,nanohttpd-apache-fileupload,/nanohttpd-apache-fileupload/src/test/java/org/nanohttpd/junit/fileupload/TestNanoFileUpLoad.java,org.nanohttpd.junit.fileupload.TestNanoFileUpLoad,testPostWithMultipartFormUpload2,()V,void testPostWithMultipartFormUpload2(),org.junit.Test,6,6,7,CloseableHttpClient createDefault()|Object get(Object key)|Object get(int index)|long getSize()|long length()|void assertEquals(long expected; long actual)|void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),7,void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),1,,0,1,2,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,2,,0,,0
nanohttpd,nanohttpd-apache-fileupload,/nanohttpd-apache-fileupload/src/test/java/org/nanohttpd/junit/fileupload/TestNanoFileUpLoad.java,org.nanohttpd.junit.fileupload.TestNanoFileUpLoad,testPostWithMultipartFormUpload3,()V,void testPostWithMultipartFormUpload3(),org.junit.Test,6,6,7,CloseableHttpClient createDefault()|Object get(Object key)|Object get(int index)|long getSize()|long length()|void assertEquals(long expected; long actual)|void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),7,void executeUpload(CloseableHttpClient httpclient; String textFileName; HttpPost post),1,,0,1,2,0,0,java.io.IOException|org.apache.http.client.ClientProtocolException,1,2,,0,,0
