mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
GraphJet,graphjet-demo,/graphjet-demo/src/test/java/com/twitter/graphjet/demo/TopNodesTest.java,com.twitter.graphjet.demo.TopNodesTest,testSimple1,()V,void testSimple1(),org.junit.Test,15,15,27,List<NodeValueEntry> getNodes()|Object get(int index)|double getValue()|int size()|long getNode()|void assertEquals(double expected; double actual; double delta)|void assertEquals(long expected; long actual)|void offer(long nodeId; double score),8,,0,,0,0,0,0,0,,7,7,,0,,0
GraphJet,graphjet-demo,/graphjet-demo/src/test/java/com/twitter/graphjet/demo/TopNodesTest.java,com.twitter.graphjet.demo.TopNodesTest,testSimple2,()V,void testSimple2(),org.junit.Test,12,12,24,List<NodeValueEntry> getNodes()|Object get(int index)|double getValue()|int size()|long getNode()|void assertEquals(double expected; double actual; double delta)|void assertEquals(long expected; long actual)|void offer(long nodeId; double score),8,,0,,0,0,0,0,0,,7,7,,0,,0
