mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
mantis,mantis-discovery-proto,/mantis-discovery-proto/src/test/java/com/netflix/mantis/discovery/proto/AppJobClustersMapTest.java,com.netflix.mantis.discovery.proto.AppJobClustersMapTest,testSerDe,()V,void testSerDe(),org.junit.Test,29,29,43,Map<String;String> getStreamJobClusterMap()|Object put(Object key; Object value)|Object readValue(String content; Class valueType)|StreamJobClusterMap getStreamJobClusterMap(String appName)|String getJobCluster(String streamName)|String writeValueAsString(Object value)|boolean containsKey(Object key)|int size()|long currentTimeMillis()|void assertEquals(Object expected; Object actual)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void println(String x),13,,0,,0,2,3,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,12,12,,0,,0
mantis,mantis-discovery-proto,/mantis-discovery-proto/src/test/java/com/netflix/mantis/discovery/proto/AppJobClustersMapTest.java,com.netflix.mantis.discovery.proto.AppJobClustersMapTest,testDeSerFromString,()V,void testDeSerFromString(),org.junit.Test,6,6,10,Object readValue(String content; Class valueType)|ObjectMapper configure(DeserializationFeature f; boolean state)|StreamJobClusterMap getStreamJobClusterMap(String appName)|String getAppName()|String getJobCluster(String streamName)|long getTimestamp()|void assertEquals(Object expected; Object actual)|void assertEquals(long expected; long actual),8,,0,,0,1,2,0,0,com.fasterxml.jackson.core.JsonProcessingException|com.fasterxml.jackson.databind.JsonMappingException,3,3,,0,,0
