mainProjectName,projectName,filePath,typeName,methodName,methodShortSignature,methodVerboseSignature,methodAnnotations,numberOfFirstLevelStatements,numberOfStatements,numberOfMethodInvocations,distinctMethodInvocations,numberOfDistinctMethodInvocations,distinctMethodInvocationsInSameClass,numberOfDistinctMethodInvocationsInSameClass,distinctTestCaseMethodInvocationsInSameClass,numberOfDistinctTestCaseMethodInvocationsInSameClass,numberOfMethodInvocationsWithExceptions,numberOfExceptionsThrown,numberOfExceptionsThrownAndCaughtExact,numberOfExceptionsThrownAndCaughtPartial,exceptionsThrownInMethodInvocations,numberOfAssertions,numberOfAssertionsWithRecursion,distinctMethodsInSameClassThatCallThisOne,numberOfdistinctMethodsInSameClassThatCallThisOne,distinctTestCasesInSameClassThatCallThisOne,numberOfdistinctTestCasesInSameClassThatCallThisOne
docx4j,docx4j-JAXB-ReferenceImpl,/docx4j-JAXB-ReferenceImpl/src/test/java/org/docx4j/jaxb/ri/MarshalTest.java,org.docx4j.jaxb.ri.MarshalTest,JAXBImplementationTest,()V,void JAXBImplementationTest(),org.junit.Test,3,3,5,Class getClass()|ClassLoader getClassLoader()|JAXBContext newInstance(String contextPath; ClassLoader classLoader)|String getName()|void assertEquals(Object expected; Object actual),5,,0,,0,1,1,0,0,javax.xml.bind.JAXBException,1,1,,0,,0
docx4j,docx4j-JAXB-ReferenceImpl,/docx4j-JAXB-ReferenceImpl/src/test/java/org/docx4j/jaxb/ri/MarshalTest.java,org.docx4j.jaxb.ri.MarshalTest,NamespaceMappingTest,()V,void NamespaceMappingTest(),org.junit.Test,3,3,5,P createP()|String marshaltoString(Object o)|boolean contains(CharSequence s)|org.docx4j.wml.ObjectFactory getWmlObjectFactory()|void assertTrue(boolean condition),5,,0,,0,0,0,0,0,,1,1,,0,,0
