project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,formatTrailingBrace,11,6,0,53,28,254.78981086905299,4.491584842575832
google-java-format,core/src/test/java/com/google/googlejavaformat/java/CommandLineFlagsTest.java,noFilesToFormatRequiresEitherHelpOrVersion,9,3,0,52,20,224.74026093414287,3.923446872104399
google-java-format,core/src/test/java/com/google/googlejavaformat/java/TypeNameClassifierTest.java,caseFormat,3,2,0,191,32,955.0,3.617235132494959
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,expandToStatement,11,6,0,63,36,325.70527509086565,4.873695995954988
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testGetFormatReplacementRanges,11,6,0,115,50,649.0434618240934,4.922242496886358
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,insertLeadingNewlines,11,6,0,55,31,272.4807970712782,4.6263453965186505
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,insertLeadingNewlines2,11,6,0,56,31,277.43499338166504,4.637251574998133
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,insertTrailingNewlines,11,6,0,54,30,264.97209216286,4.5784840311388315
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,rejoinMethodSignatureLines,11,6,0,52,29,252.6150117466338,4.517251498230892
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,formatTrailingBraceEmptyMethodBody,11,6,0,53,28,254.78981086905299,4.491584842575833
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,trailingNonBreakingWhitespace,11,6,0,98,46,541.3090716935873,5.117311187133534
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,noTrailingWhitespace,11,6,0,96,47,533.2405297610533,5.220713678734408
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,parseError,3,2,0,138,60,815.1509021939755,5.066969426574496
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,lexError,3,2,0,120,47,666.5506622013165,4.761609825118052
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,oneFileParseError,3,2,0,150,50,846.5784284662086,4.835056640768175
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,oneFileParseErrorReplace,3,2,0,176,56,1022.0944662821385,4.876551462552895
google-java-format,core/src/test/java/com/google/googlejavaformat/java/FormatterTest.java,testFormatAosp,1,1,0,136,61,806.5802779085526,5.186931010224466
google-java-format,core/src/test/java/com/google/googlejavaformat/java/FormatterTest.java,testFormatNonJavaFiles,1,1,0,91,34,462.9591185537809,4.459894915230461
google-java-format,core/src/test/java/com/google/googlejavaformat/java/FormatterTest.java,testFormatStdinStdoutWithDashFlag,1,1,0,119,44,649.6723626178384,4.8715918617501694
google-java-format,core/src/test/java/com/google/googlejavaformat/java/FormatterTest.java,testFormatLengthUpToEOF,1,1,0,140,57,816.604601983064,5.115125131060356
google-java-format,core/src/test/java/com/google/googlejavaformat/java/FormatterTest.java,testFormatLengthOutOfRange,1,1,0,116,50,654.687318013868,4.951924282084359
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testLength,11,6,0,133,54,765.4000377877414,5.0972346122779175
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testLengthRange,11,6,0,133,55,768.9208418987798,5.11227220626288
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,statementAndComments,11,6,0,147,57,857.4348320822171,5.199183603726854
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,statementAndComments2,11,6,0,147,57,857.4348320822171,5.199183603726854
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,statementAndComments3,11,6,0,147,57,857.4348320822171,5.199183603726855
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,noTokensOnLine,11,6,0,147,72,906.9789752120199,5.524404817987343
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,lineWithTrailingComment,11,6,0,129,52,735.3567236402009,5.023472522952751
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,outOfRangeStartLine,11,6,0,128,52,729.6562839220599,5.01234093368207
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,outOfRangeEndLine,11,6,0,128,52,729.6562839220599,5.01234093368207
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testOutOfRangeLines,11,6,0,128,53,733.1738181840896,5.02796593368207
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testEmptyFirstLine,11,6,0,108,48,603.175950077885,4.9601694469863515
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,testEmptyLastLine,11,6,0,107,48,597.5909875771638,4.955722477457545
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,afterNewline,11,6,0,291,57,1697.37099412194,5.045302728862164
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,parseErrorStdin,3,2,0,95,42,512.2701551639823,4.8292442256244446
google-java-format,core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,lexErrorStdin,3,2,0,95,42,512.2701551639823,4.8292442256244446
google-java-format,core/src/test/java/com/google/googlejavaformat/java/PartialFormattingTest.java,lineInsideComment,11,6,0,43,28,206.71626164847697,4.618011556977366
google-java-format,core/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,paragraphTag,29,2,0,52,26,244.4228653433368,4.541503900708584
