project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveClassNamePreservingCase,1,1,0,26,19,110.44611534953322,4.023145853739676
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveClassNamePreservingCaseWithNumbers,1,1,0,27,20,116.69205856195879,4.102678595702847
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameToCasePreservingName,1,1,0,27,20,116.69205856195879,4.102678595702847
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameToCasePreservingNameWithExtension,1,1,0,27,20,116.69205856195879,4.102678595702847
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameToUnderscoredNameWithDefaultExtension,1,1,0,26,19,110.44611534953322,4.023145853739676
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameToUnderscoredNameWithExtension,1,1,0,27,20,116.69205856195879,4.102678595702847
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameToUnderscoredNameWithExtensionStrippingExtraneousWord,1,1,0,31,22,138.24238017775622,4.17146526179041
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameWithNumbersTreatedAsLowerCaseLetters,1,1,0,40,22,178.37726474549189,4.084183719779188
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveCamelCasedClassNameWithNumbersTreatedAsUpperCaseLetters,1,1,0,41,23,185.46604019833754,4.149996516707671
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/io/StoryPathResolverBehaviour.java,shouldResolveDefaultPackageClassName,1,1,0,26,19,110.44611534953322,3.9500637564362093
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableBehaviour.java,shouldParseTableWithCustomNestedTransformers,2,2,0,97,45,532.7097503439785,4.917866290681238
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableBehaviour.java,shouldAllowBuildingOfTableFromEmptyContent,2,2,0,48,26,225.62110647077245,4.30142832417039
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableFactoryBehaviour.java,shouldCreateExamplesTableWithParametersFromResourceInput,12,3,0,64,32,320.0,4.520579089248423
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/ExamplesTableFactoryBehaviour.java,shouldCreateExamplesTableFromTableInputWithInlinedSeparatorsHavingSpacesAtStart,12,3,0,40,24,183.39850002884629,4.234183719779187
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,shouldInheritFromParentStartingFromEmpty,1,1,0,76,27,361.37145016442366,4.147037016487799
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/MetaBehaviour.java,shouldInheritFromParentStartingFromNonEmpty,1,1,0,88,28,423.0472331410691,4.1726999784322425
jbehave-core,jbehave-core/src/test/java/org/jbehave/core/model/OutcomesTableBehaviour.java,shouldDoNothingIfOutcomesVerified,1,1,0,74,30,363.1099040750304,4.263111731853971
