project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hibernate-search,integrationtest/backend/lucene/src/test/java/org/hibernate/search/integrationtest/backend/lucene/search/LuceneSearchMultiIndexIT.java,field_in_one_index_only_is_supported_for_sorting,102,26,0,158,40,840.8646389922033,4.356220391243694
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,projection_across_multiple_indexes,52,25,0,62,34,315.4226961575211,4.546803068996853
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,field_in_one_index_only_is_supported,52,25,0,105,41,562.5429604848988,4.584897241076236
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,unknown_field_throws_exception,52,25,0,155,39,819.2373439236485,4.135594333295244
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,sort_across_multiple_indexes,52,25,0,164,38,860.660112204748,4.298994156056448
hibernate-search,engine/src/test/java/org/hibernate/search/engine/spatial/GeoPolygonTest.java,invalidPolygon,30,5,0,97,24,444.74136256995223,3.8046065416935546
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,search_with_incompatible_types_throws_exception,52,25,0,101,36,522.1624251456735,4.227057668254659
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,search_across_backends_throws_exception,52,25,0,30,22,133.78294855911892,4.123231428797621
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/SearchMultiIndexIT.java,search_across_multiple_indexes,52,25,0,77,36,398.08422511105806,4.507800379704978
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/smoke/AnnotationMappingSmokeIT.java,index,45,9,0,993,95,6523.866619072631,4.7243085630378765
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/smoke/ProgrammaticMappingSmokeIT.java,index,45,9,0,993,95,6523.866619072631,4.7243085630378765
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/mapping/definition/AnnotationMappingDiscoveryIT.java,discoveryEnabled,9,4,0,121,43,656.5780353189539,4.467039589432025
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/mapping/definition/AnnotationMappingDiscoveryIT.java,discoveryDisabled,9,4,0,161,49,903.9682849025486,4.5302367442729
hibernate-search,engine/src/test/java/org/hibernate/search/engine/spatial/GeoPolygonTest.java,validPolygon,30,5,0,94,20,406.2612409194121,3.68407299264864
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/projection/SearchProjectionIT.java,mixed,27,6,0,206,50,1162.6343750935932,4.398198574996133
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/spi/DifferentSessionFactoriesIT.java,tryToUseDifferentSessionFactories,26,14,0,61,31,302.2059749335994,4.243616818825052
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/sort/SearchSortIT.java,extension,37,20,0,501,48,2798.0662128613,4.424252103153143
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/SearchPredicateIT.java,extension,8,4,0,259,47,1438.6385125845081,4.337054525216147
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/projection/SearchProjectionIT.java,score,17,6,0,145,49,814.1329273967052,4.564247386324638
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/sort/SearchSortIT.java,separateSort,37,20,0,145,42,781.8860263029203,4.412913687724524
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/sort/SearchSortIT.java,byIndexOrder,14,14,0,96,42,517.662472586761,4.818902085446845
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/smoke/AnnotationMappingSmokeIT.java,search,18,3,0,233,66,1408.3438298105195,4.959614799283728
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/smoke/ProgrammaticMappingSmokeIT.java,search,18,3,0,233,66,1408.3438298105195,4.959614799283728
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/sort/SearchSortIT.java,byScore,14,14,0,160,41,857.2083207388935,4.323568596694747
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupported_noSupported,4,2,0,29,21,127.37720526058406,4.155755892486184
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupported_supported,4,2,0,43,24,197.15338753100974,4.140585393884789
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupportedThenOrElseFail_noSupported,4,2,0,46,29,223.46712577586834,4.42868091308744
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupportedThenOrElseFail_supported,4,2,0,51,25,236.83666567851094,4.1052086598942905
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupportedThenOrElse_noSupported,4,2,0,58,27,275.78347512548123,4.157376833941107
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,ifSupportedThenOrElse_supported,4,2,0,66,28,317.28542485580186,4.215168500055015
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupported_noSupported,4,2,0,86,33,433.817894264827,4.49445014486971
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupported_singleSupported,4,2,0,83,26,390.1364966057107,3.9957770370585344
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupported_multipleSupported,4,2,0,91,27,432.69476269687567,4.072071286365411
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupportedThenOrElse_noSupported,4,2,0,90,27,427.9398751947122,4.024505254536837
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupportedThenOrElse_singleSupported,4,2,0,98,29,476.08213752250214,4.128798055121004
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,multipleIfSupportedThenOrElse_multipleSupported,4,2,0,106,30,520.130403134503,4.174294190971248
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,orElseThenIfSupported,4,2,0,72,34,366.2973245700245,4.3222063441799445
hibernate-search,engine/src/test/java/org/hibernate/search/engine/common/dsl/impl/DslExtensionStateTest.java,orElse,4,2,0,42,22,187.29612798276648,4.0284076009896115
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/analysis/ElasticsearchAnalysisConfigurerIT.java,error_invalidReference,32,17,0,48,31,237.80142289857002,4.351227480952956
hibernate-search,integrationtest/backend/lucene/src/test/java/org/hibernate/search/integrationtest/backend/lucene/analysis/LuceneAnalysisConfigurerIT.java,error_invalidReference,28,16,0,43,28,206.71626164847697,4.259269185693167
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/bootstrap/UnusedPropertiesIT.java,checkDisabled_unusedProperty,22,13,0,71,33,358.15198247445016,4.301480766141524
hibernate-search,integrationtest/mapper/orm/src/test/java/org/hibernate/search/integrationtest/mapper/orm/bootstrap/UnusedPropertiesIT.java,checkEnabledByDefault_unusedProperty,22,13,0,96,42,517.662472586761,4.635871841722513
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/analysis/AnalysisCustomIT.java,normalizer_keyword,15,4,0,108,32,540.0,4.207455097071103
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/analysis/AnalysisCustomIT.java,normalizer_lowercase,15,4,0,123,35,630.9018110842309,4.248763517688954
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/analysis/AnalysisCustomIT.java,analyzer_keyword,15,4,0,108,32,540.0,4.207455097071103
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/analysis/AnalysisCustomIT.java,analyzer_whitespace_lowercase,15,4,0,148,36,765.1489002134622,4.314252239356874
