project,filePath,methodName,noBugFixes,noCommitFixes,noClones,halsteadLength,halsteadVocabulary,halsteadVolume,entropy
hibernate-search,integrationtest/mapper/pojo-base/src/test/java/org/hibernate/search/integrationtest/mapper/pojo/mapping/definition/IndexedEmbeddedBaseIT.java,targetType_preserveGenericTypeContext,4,2,0,215,64,1290.0,5.333094910000508
hibernate-search,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,reproducer,1,1,0,292,73,1807.428771192965,4.9669645606331745
hibernate-search,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,indexingStrategyOutbox,1,1,0,105,45,576.6445751146158,4.565407012471618
hibernate-search,integrationtest/mapper/orm-realbackend/src/test/java/org/hibernate/search/integrationtest/mapper/orm/realbackend/limitations/ConcurrentEmbeddedUpdateLimitationIT.java,indexingStrategySession,1,1,0,95,45,521.7260441513191,4.7173562723374545
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,emptyTerms_matchingAll,2,1,0,54,30,264.97209216286,4.1949091510981455
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,emptyTerms_matchingAny,2,1,0,54,30,264.97209216286,4.1949091510981455
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/TermsPredicateSpecificsIT.java,lotsOfTerms_matchingAny,2,1,0,78,40,415.11039140121426,4.530779092734073
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,get_missing,1,1,0,26,19,110.44611534953322,4.023145853739676
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,get_string,1,1,0,32,22,142.7018117963935,4.202819531114783
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,resolve_missing,1,1,0,27,19,114.6940428629768,4.028604521628773
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/AbstractAllAwareConfigurationPropertySourceTest.java,resolve_present,1,1,0,27,18,112.58797503894243,3.926571651178274
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/MapConfigurationPropertySourceTest.java,to_string,1,1,0,30,20,129.65784284662087,4.031401845392172
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/MapConfigurationPropertySourceTest.java,get_integer,1,1,0,38,25,176.46653521143952,4.309730554117185
hibernate-search,engine/src/test/java/org/hibernate/search/engine/cfg/SystemConfigurationPropertySourceTest.java,to_string,1,1,0,26,19,110.44611534953322,4.023145853739676
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/client/ElasticsearchClientFactoryImplIT.java,cloggedClient_timeout_request,1,1,0,186,71,1143.8529642278709,5.086461225586034
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/client/ElasticsearchClientFactoryImplIT.java,simple_httpClientConfigurer,1,1,0,179,68,1089.655848583811,4.925954229408534
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,noVersionCheck_completeVersion,11,4,0,157,66,948.9698767392772,4.940467195740349
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,noVersionCheck_incompleteVersion,11,4,0,137,68,833.9824092512965,5.069890020789452
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,noVersionCheck_versionOverrideOnStart_incompatibleVersion,11,4,0,233,98,1541.2273936788438,5.389543607686516
hibernate-search,integrationtest/backend/elasticsearch/src/test/java/org/hibernate/search/integrationtest/backend/elasticsearch/bootstrap/ElasticsearchBootstrapIT.java,noVersionCheck_versionOverrideOnStart_compatibleVersion,11,4,0,207,78,1301.0782593044855,5.117682533390125
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/NamedPredicateBaseIT.java,root,12,1,0,77,27,366.1263376665871,4.048736706797989
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/NamedPredicateBaseIT.java,nested,12,1,0,107,29,519.8039664786503,4.025058318926563
hibernate-search,integrationtest/backend/tck/src/main/java/org/hibernate/search/integrationtest/backend/tck/search/predicate/NamedPredicateBaseIT.java,flattened,12,1,0,112,28,538.4237512704516,4.004470585792742
