iter	Logloss
0	0.6864590911
1	0.6791267625
2	0.6731685547
3	0.6676385206
4	0.6627321113
5	0.6553155195
6	0.648444684
7	0.6419007915
8	0.6372391625
9	0.6343415071
10	0.6299992073
11	0.625240806
12	0.6186077023
13	0.6125297958
14	0.6088709635
15	0.6028442976
16	0.5969063659
17	0.5939551879
18	0.591259414
19	0.5869342741
20	0.5842898635
21	0.5811485688
22	0.5750354963
23	0.5708814769
24	0.567605035
25	0.5621663361
26	0.5592158504
27	0.5552531776
28	0.552430264
29	0.5489676128
30	0.5450738386
31	0.5414502292
32	0.5390753762
33	0.5352149915
34	0.5325120237
35	0.5294986183
36	0.5256352815
37	0.5230346513
38	0.5206414413
39	0.5183813247
40	0.515981952
41	0.5137871263
42	0.5109953227
43	0.5083806928
44	0.5050919385
45	0.5034708731
46	0.5016508963
47	0.4987201404
48	0.4956026248
49	0.4926964522
50	0.4891755838
51	0.4865271396
52	0.4838491798
53	0.4818849003
54	0.4797707585
55	0.477761558
56	0.475369264
57	0.4729481574
58	0.470465194
59	0.4682575979
60	0.4664786232
61	0.4646426349
62	0.4629997009
63	0.460300901
64	0.458189205
65	0.4561482404
66	0.4543161179
67	0.4531406658
68	0.4505680829
69	0.4485921313
70	0.4466624483
71	0.4442726589
72	0.4423217072
73	0.440083495
74	0.4381651666
75	0.4366125791
76	0.434805896
77	0.4333770708
78	0.4313799028
79	0.4299050194
80	0.4284115241
81	0.4265073823
82	0.4243501663
83	0.4227508769
84	0.4202341819
85	0.4182847018
86	0.4169807757
87	0.4154832242
88	0.4137116284
89	0.4109965016
90	0.4091867841
91	0.4074640129
92	0.4057400467
93	0.4045462405
94	0.4029390083
95	0.4017568434
96	0.4000350834
97	0.3984607473
98	0.3960518206
99	0.394424944
100	0.3924812029
101	0.3912316605
102	0.3903506457
103	0.3890514131
104	0.3878054014
105	0.3860955638
106	0.3840906882
107	0.3826930371
108	0.3804724847
109	0.3788661845
110	0.3778644259
111	0.3766684512
112	0.3754227126
