jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildDefaultConfigurationIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,Configuration buildConfiguration()|void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),2,void assertThatConfigurationIs(Configuration builtConfiguration; Configuration defaultConfiguration),1,,0,2,2,0,0,org.jbehave.core.configuration.AnnotationRequired,0,0,,0,,0,duplicated_4
jbehave-core,jbehave-needle,/jbehave-needle/src/test/java/org/jbehave/core/configuration/needle/NeedleAnnotationBuilderBehaviour.java,org.jbehave.core.configuration.needle.NeedleAnnotationBuilderBehaviour,shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent,()V,void shouldBuildEmptyStepsListIfAnnotationOrAnnotatedValuesNotPresent(),org.junit.Test,4,4,4,List<CandidateSteps> buildCandidateSteps()|void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),2,void assertThatStepsInstancesAre(List<CandidateSteps> candidateSteps; Class<?>[] stepsClasses),1,,0,0,0,0,0,,0,0,,0,,0,duplicated_3
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/ToStringTreeBuilderTest.java,org.hibernate.search.util.common.impl.ToStringTreeBuilderTest,inlineStyle,()V,void inlineStyle(),org.junit.Test,3,3,12,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String toString()|String toString(ToStringStyle style)|ToStringStyle inlineDelimiterStructure()|ToStringTreeBuilder endObject()|ToStringTreeBuilder startObject(String name),7,String toString(ToStringStyle style),1,,0,0,0,0,0,,0,0,,0,,0,duplicated_2
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/impl/ToStringTreeBuilderTest.java,org.hibernate.search.util.common.impl.ToStringTreeBuilderTest,multiLineStyle,()V,void multiLineStyle(),org.junit.Test,3,3,14,AbstractStringAssert assertThat(String actual)|AbstractStringAssert isEqualTo(String expected)|String toString()|String toString(ToStringStyle style)|ToStringStyle multilineDelimiterStructure()|ToStringTreeBuilder endObject()|ToStringTreeBuilder startObject(String name),7,String toString(ToStringStyle style),1,,0,0,0,0,0,,0,0,,0,,0,duplicated_2
hibernate-search,hibernate-search-util-common,/hibernate-search-util-common/src/test/java/org/hibernate/search/util/common/reflect/impl/GenericTypeContextTest.java,org.hibernate.search.util.common.reflect.impl.GenericTypeContextTest,simple,()V,void simple(),org.junit.Test,6,6,30,AbstractGenericTypeContextAssert resolveTypeArgumentTo(Type expected; Class<?> rawSuperClass; int typeArgumentIndex)|AbstractGenericTypeContextAssert resolveTypeArgumentToEmpty(Class<?> rawSuperClass; int typeArgumentIndex),2,,0,,0,0,0,0,0,,0,0,,0,,0,duplicated_32
hibernate-search,hibernate-search-integrationtest-jsr352,/hibernate-search-integrationtest-jsr352/src/test/java/org/hibernate/search/jsr352/massindexing/BatchIndexingJobIT.java,org.hibernate.search.jsr352.massindexing.BatchIndexingJobIT,indexedEmbeddedCollection,()V,void indexedEmbeddedCollection(),org.junit.Test|org.hibernate.search.testsupport.TestForIssue,19,39,51,CriteriaBuilder getCriteriaBuilder()|CriteriaQuery createQuery(Class resultClass)|CriteriaQuery orderBy(Order[] o)|EntityManager createEntityManager()|EntityTransaction getTransaction()|EntityType getModel()|JobExecution getJobExecution(long executionId)|JobExecution waitForTermination(JobOperator jobOperator; JobExecution jobExecution; int timeoutInMs)|List getResultList()|List<T> findIndexedResults(EntityManagerFactory emf; Class<T> clazz; String key; String value)|Object get(int index)|Order asc(Expression x)|ParametersBuilder checkpointInterval(int checkpointInterval)|ParametersBuilder forEntities(Class<?> entityType; Class<?>[] entityTypes)|ParametersBuilderInitialStep parameters()|Path get(SingularAttribute attribute)|Properties build()|Root from(Class entityClass)|SingularAttribute getId(Class type)|TypedQuery createQuery(CriteriaQuery criteriaQuery)|boolean add(Object e)|int size()|long start(String jobXMLName; Properties jobParameters)|void assertCompletion(long executionId)|void assertEquals(long expected; long actual)|void assertProgress(long executionId; Class<?> entityType; int progressValue)|void begin()|void close()|void commit()|void forEach(Consumer action),30,void assertCompletion(long executionId)|void assertProgress(long executionId; Class<?> entityType; int progressValue),2,,0,3,5,0,0,java.lang.InterruptedException|javax.batch.operations.JobSecurityException|javax.batch.operations.JobStartException|javax.batch.operations.NoSuchJobExecutionException,6,8,,0,,0,duplicated_2
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/NoPackageTest.java,NoPackageTest,testMultipleEntitiesPerIndex,()V,void testMultipleEntitiesPerIndex(),org.junit.Test,2,11,14,FullTextQuery createFullTextQuery(org.apache.lucene.search.Query luceneQuery; Class<?>[] entities)|FullTextSession getFullTextSession(Session session)|List list()|Session openSession()|Transaction getTransaction()|int size()|void assertEquals(long expected; long actual)|void begin()|void commit()|void persist(Object object),10,,0,,0,0,0,0,0,,1,1,,0,,0,duplicated_3
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/backend/OptimizationTriggerTest.java,org.hibernate.search.test.backend.OptimizationTriggerTest,testOptimizationIsTriggered,()V,void testOptimizationIsTriggered(),org.junit.Test,20,27,31,DirectoryBasedIndexManager getSingleIndexManager(Class<?> clazz)|FullTextQuery createFullTextQuery(org.apache.lucene.search.Query luceneQuery; Class<?>[] entities)|FullTextSession getFullTextSession(Session session)|MassIndexer createIndexer(Class<?>[] types)|MassIndexer optimizeAfterPurge(boolean optimize)|MassIndexer optimizeOnFinish(boolean optimize)|OptimizerStrategy getOptimizerStrategy()|SearchFactory getSearchFactory()|Session openSession()|Transaction beginTransaction()|int getResultSize()|long getOptimizationsPerformed()|void assertEquals(String message; long expected; long actual)|void assertTrue(String message; boolean condition)|void clear()|void close()|void commit()|void optimize(Class<?> entityType)|void persist(Object object)|void startAndWait(),20,DirectoryBasedIndexManager getSingleIndexManager(Class<?> clazz),1,,0,1,1,0,0,java.lang.InterruptedException,7,8,,0,,0,duplicated_2
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/backend/WorkQueueLengthConfiguredTest.java,org.hibernate.search.test.backend.WorkQueueLengthConfiguredTest,testNothingTest,()V,void testNothingTest(),org.junit.Test,7,7,14,IndexManagerSelector getIndexManagerSelector()|IndexedTypeMap<EntityIndexBinding> getIndexBindings()|Iterator iterator()|LuceneBackendResources getIndexResources()|Object next()|SearchFactory getSearchFactory()|Set<IndexManager> all()|T unwrap(Class<T> cls)|V get(Class<?> legacyPojoClass)|WorkspaceHolder getWorkspaceHolder()|int getMaxQueueLength()|int size()|void assertEquals(long expected; long actual),13,,0,,0,0,0,0,0,,2,2,,0,,0,duplicated_2
hibernate-search,hibernate-search-orm,/hibernate-search-orm/src/test/java/org/hibernate/search/test/batchindexing/SearchIndexerTest.java,org.hibernate.search.test.batchindexing.SearchIndexerTest,testEntityHierarchy,()V,void testEntityHierarchy(),org.junit.Test,9,23,53,FullTextSession openFullTextSession()|FullTextSessionBuilder addAnnotatedClass(Class annotatedClass)|FullTextSessionBuilder build()|SearchFactory getSearchFactory()|Set<Class<?>> getRootEntities()|T unwrap(Class<T> cls)|boolean contains(Object o)|int size()|void assertEquals(long expected; long actual)|void assertFalse(boolean condition)|void assertTrue(boolean condition)|void close(),12,,0,,0,0,0,0,0,,14,14,,0,,0,duplicated_2
