Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
nanohttpd,testDeleteRequestThatDoesntSendBackResponseBody_EmptyString,core/src/test/java/fi/iki/elonen/HttpDeleteRequestTest.java,16,7,0
nanohttpd,testDeleteRequestThatDoesntSendBackResponseBody_NullString,core/src/test/java/fi/iki/elonen/HttpDeleteRequestTest.java,16,7,0
nanohttpd,testDeleteRequestThatDoesntSendBackResponseBody_NullInputStream,core/src/test/java/fi/iki/elonen/HttpDeleteRequestTest.java,16,7,0
nanohttpd,testDeleteRequestThatSendsBackResponseBody_Success,core/src/test/java/fi/iki/elonen/HttpDeleteRequestTest.java,16,6,0
nanohttpd,testDeleteRequestThatSendsBackResponseBody_Accepted,core/src/test/java/fi/iki/elonen/HttpDeleteRequestTest.java,16,6,0
nanohttpd,testEmptyRequest,core/src/test/java/fi/iki/elonen/HttpErrorsTest.java,3,1,0
nanohttpd,testFullyQualifiedWorkingGetRequest,core/src/test/java/fi/iki/elonen/HttpGetRequestTest.java,4,3,0
nanohttpd,testOutputOfServeSentBackToClient,core/src/test/java/fi/iki/elonen/HttpGetRequestTest.java,10,5,0
nanohttpd,testHeadRequestDoesntSendBackResponseBody,core/src/test/java/fi/iki/elonen/HttpHeadRequestTest.java,4,2,0
nanohttpd,testPutRequestSendsContent,core/src/test/java/fi/iki/elonen/HttpPutRequestTest.java,9,3,0
nanohttpd,testSimpleGetRequest,core/src/test/java/fi/iki/elonen/integration/GetAndPostIntegrationTest.java,8,3,0
nanohttpd,testGetRequestWithParameters,core/src/test/java/fi/iki/elonen/integration/GetAndPostIntegrationTest.java,9,3,0
nanohttpd,testPostWithNoParameters,core/src/test/java/fi/iki/elonen/integration/GetAndPostIntegrationTest.java,9,3,0
nanohttpd,testPostRequestWithFormEncodedParameters,core/src/test/java/fi/iki/elonen/integration/GetAndPostIntegrationTest.java,7,3,0
nanohttpd,testPostRequestWithMultipartEncodedParameters,core/src/test/java/fi/iki/elonen/integration/GetAndPostIntegrationTest.java,7,3,0
nanohttpd,testSimplePutRequest,core/src/test/java/fi/iki/elonen/integration/PutStreamIntegrationTest.java,3,3,0
nanohttpd,testServerExists,core/src/test/java/fi/iki/elonen/HttpServerTest.java,7,5,0
nanohttpd,testDecodingParametersWithSingleValue,core/src/test/java/fi/iki/elonen/HttpGetRequestTest.java,45,5,0
nanohttpd,testDecodingParametersWithSingleValueAndMissingValue,core/src/test/java/fi/iki/elonen/HttpGetRequestTest.java,39,5,0
nanohttpd,testDecodingParametersWithSingleValue,core/src/test/java/fi/iki/elonen/HttpHeadRequestTest.java,24,2,0
