Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
hollow,passTestNoMoreChangeThanExpected,hollow/src/test/java/com/netflix/hollow/api/producer/validation/RecordCountVarianceValidatorTests.java,1,1,0
hollow,testCycleSkip,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,20,2,0
hollow,testCycleStartEnd,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,23,2,0
hollow,testNotPrimaryProducerVersion,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerTest.java,1,1,1
hollow,testRemoveDuringCycle,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,3,1,1
hollow,testAddDuringCycle,hollow/src/test/java/com/netflix/hollow/api/producer/ListenerSupportTest.java,1,1,1
hollow,testObjectReferenceWithoutAutoExpand,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,3,1,0
hollow,testSetIntegerReference,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,12,1,0
hollow,testMultiFieldReferenceIncomplete,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,6,1,0
hollow,testListIntegerReference,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,7,1,0
hollow,testListObjectReference,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,4,1,0
hollow,testMapKeyReferenceToList,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,6,1,0
hollow,testSimpleReferenceWithoutAutoExpand,hollow/src/test/java/com/netflix/hollow/core/index/FieldPathTest.java,2,1,0
hollow,testSetReference,hollow/src/test/java/com/netflix/hollow/core/index/HollowPrefixIndexTest.java,1,1,0
hollow,throwsMeaningfulExceptions,hollow/src/test/java/com/netflix/hollow/core/index/PrimaryKeyTest.java,41,1,0
hollow,snapshotUpdates,hollow/src/test/java/com/netflix/hollow/api/consumer/index/HashIndexUpdatesTest.java,2,1,0
hollow,addAndDeleteCollectionsInParallel,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerTest.java,3,3,1
hollow,updateAndPublishUsingMultithreading,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerMultithreadingTest.java,1,1,1
hollow,removeAndPublishUsingMultithreading,hollow/src/test/java/com/netflix/hollow/api/producer/HollowIncrementalProducerMultithreadingTest.java,1,1,1
hollow,flatRecordsCanBeDumpedToStateEngineWithIdenticalSchemas,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/flatrecords/FlatRecordWriterTests.java,3,1,0
hollow,test,hollow-jsonadapter/src/test/java/com/netflix/hollow/jsonadapter/chunker/JsonArrayChunkerTest.java,1,1,0
hollow,testEvenNumbersMultipleThread,hollow/src/test/java/com/netflix/hollow/core/index/SparseBitSetTest.java,1,1,0
hollow,failsWhenAnyRunnableThrowsException,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,11,1,0
hollow,failsWhenAnyCallableThrowsException,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,7,1,0
hollow,canBeReused,hollow/src/test/java/com/netflix/hollow/core/util/SimultaneousExecutorTest.java,21,1,0
hollow,testBlobPublishAsyncExecutorFail,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,1,1,0
hollow,testFirstCycle,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,1,1,1
hollow,testSecondCycleWithChanges,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,3,1,1
hollow,testSecondCycleNoChanges,hollow/src/test/java/com/netflix/hollow/api/producer/HollowProducerListenerTest.java,1,1,1
hollow,testCycleSkipWhenNeverBeenPrimaryProducer,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,1,1,1
hollow,testCycleSkipWhenPreviouslyPrimaryProducer,hollow/src/test/java/com/netflix/hollow/api/producer/metrics/AbstractProducerMetricsListenerTest.java,1,1,1
hollow,testSnapshotBlobFailureNoDoubleSnapshot,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,11,1,1
hollow,testSnapshotBlobFailure,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,11,1,0
hollow,testDeltaBlobFailure,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,4,1,1
hollow,testDeltaBlobFailureNoDoubleSnapshot,hollow/src/test/java/com/netflix/hollow/api/consumer/FailedTransitionTest.java,4,1,1
hollow,testGenerateWithPostfix,hollow/src/test/java/com/netflix/hollow/api/codegen/HollowAPIGeneratorTest.java,1,1,0
hollow,testTypeBWithSelect,hollow/src/test/java/com/netflix/hollow/api/consumer/index/HashIndexTest.java,1,1,0
hollow,roundTrip,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerTest.java,0,0,1
hollow,roundTripAndGetTypeState,hollow/src/test/java/com/netflix/hollow/tools/diff/HollowDiffMatcherTest.java,0,0,1
hollow,testCascadingKeys,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerPrimaryKeyTests.java,0,0,1
hollow,testCompoundCascadingKeys,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerPrimaryKeyTests.java,0,0,1
hollow,testCompoundKeys,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerPrimaryKeyTests.java,0,0,1
hollow,testIgnoreWithMultipleInput,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerIgnoreTest.java,0,0,1
hollow,multipleTypes,hollow/src/test/java/com/netflix/hollow/tools/combine/HollowCombinerMissingTypeWithPrimaryKeyTest.java,0,0,1
hollow,testShortcutType,hollow/src/test/java/com/netflix/hollow/tools/diff/HollowDiffShortcutTest.java,0,0,1
hollow,testShortcutTypeMissingField,hollow/src/test/java/com/netflix/hollow/tools/diff/HollowDiffShortcutTest.java,0,0,1
hollow,testStringifyIterator,hollow/src/test/java/com/netflix/hollow/tools/stringifier/HollowRecordJsonStringifierTest.java,0,0,1
hollow,testStringifyIterator,hollow/src/test/java/com/netflix/hollow/tools/stringifier/HollowRecordStringifierTest.java,0,0,1
hollow,testHistoricalSet,hollow/src/test/java/com/netflix/hollow/tools/history/HollowHistorySetTest.java,0,0,1
hollow,testHistoricalList,hollow/src/test/java/com/netflix/hollow/tools/history/HollowHistoryListTest.java,0,0,1
hollow,resetWillReturnToInitialState,hollow/src/test/java/com/netflix/hollow/core/write/ResetToLastPreparedForNextCycleTest.java,0,0,1
hollow,resetWillReturnToInitialStateEvenAfterWriting,hollow/src/test/java/com/netflix/hollow/core/write/ResetToLastPreparedForNextCycleTest.java,0,0,1
hollow,testMappingClassWithTransientArray,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,testMappingClassWithHollowTransientArray,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,assertExpectedFailureMappingType,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,assertExpectedFailureMappingInterfaceType,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,assertExpectedFailureMappingArraysType,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,map,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/HollowObjectMapperTest.java,0,0,1
hollow,map,hollow/src/test/java/com/netflix/hollow/core/index/traversal/HollowIndexTraversalTest.java,0,0,1
hollow,reuseMemoizedListsAcrossCycles,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/ReuseMemoizedObjectsAcrossCyclesTest.java,0,0,1
hollow,reuseMemoizedSetsAcrossCycles,hollow/src/test/java/com/netflix/hollow/core/write/objectmapper/ReuseMemoizedObjectsAcrossCyclesTest.java,0,0,1
hollow,setUp,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineFieldRemovalCollapsesOrdinals.java,0,0,1
hollow,setUp,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineFieldAdditionSplitsOrdinals.java,0,0,1
hollow,addState1Record,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineFieldRemovalCollapsesOrdinals.java,0,0,1
hollow,addState1Record,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineChangingSchemaTest.java,0,0,1
hollow,addState2Record,hollow/src/test/java/com/netflix/hollow/core/write/restore/RestoreWriteStateEngineFieldAdditionSplitsOrdinals.java,0,0,1
