Project,TestCase,FilePath,NoBugFixes,NoCommitFixes,NoClones
closure-compiler,testLiteralTypesInferred,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,13,2,0
closure-compiler,testGlobalQualifiedNameInLocalScope,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,5,3,0
closure-compiler,testDeclaredObjectLitProperty1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,4,2,0
closure-compiler,testDeclaredObjectLitProperty2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,4,2,0
closure-compiler,testDeclaredObjectLitProperty3,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,4,2,0
closure-compiler,testDeclaredObjectLitProperty4,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,9,4,0
closure-compiler,testDeclaredObjectLitProperty5,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,2,2,0
closure-compiler,testDeclaredObjectLitProperty6,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,6,3,0
closure-compiler,testInferredObjectLitProperty1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,6,3,0
closure-compiler,testInferredObjectLitProperty2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,6,3,0
closure-compiler,testDeclaredConstType1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,2,2,0
closure-compiler,testDeclaredConstType2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,2,2,0
closure-compiler,testDeclaredConstType3,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,2,2,0
closure-compiler,testDeclaredConstType4,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,4,3,0
closure-compiler,testDeclaredConstType5a,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,2,2,0
closure-compiler,testDeclaredConstType6,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,8,3,0
closure-compiler,testBadCtorInit1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,1,1,0
closure-compiler,testBadCtorInit2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,1,1,0
closure-compiler,testBadIfaceInit1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,1,1,0
closure-compiler,testBadIfaceInit2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,1,1,0
closure-compiler,testDeclaredCatchExpression1,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,3,2,0
closure-compiler,testDeclaredCatchExpression2,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,3,2,0
closure-compiler,testDestructuringCatch,test/com/google/javascript/jscomp/TypedScopeCreatorTest.java,1,1,0
